Order Id,Order Date,Year,Month,Month Name,Quarter,Product Category,Size,Region,Acquisition Channel,Units Ordered,Discount Applied,Discount Pct,Order Value Usd,Manufacturing Cost Usd,Fulfillment Cost Usd,Total Cogs Usd,Gross Profit Usd,Gross Margin Pct,Is Returned
ORD-10016,01-01-2021,2021,1,Jan,Q1,Tops & T-Shirts,L,West,Paid Search,2,0,0,$25.68,$6.91,$3.02,$9.93,$15.75,61.33,1
ORD-10023,05-01-2021,2021,1,Jan,Q1,Dresses,XS,North,Direct,1,0,0,$39.31,$10.43,$3.08,$13.51,$25.80,65.63,0
ORD-10002,08-01-2021,2021,1,Jan,Q1,Tops & T-Shirts,XL,East,Paid Search,1,1,0.17,$23.45,$6.79,$3.22,$10.01,$13.44,57.31,0
ORD-10004,08-01-2021,2021,1,Jan,Q1,Tops & T-Shirts,M,North,Instagram / Social,1,1,0.18,$24.86,$7.01,$3.19,$10.20,$14.66,58.97,0
ORD-10021,09-01-2021,2021,1,Jan,Q1,Outerwear,L,North,Paid Search,1,0,0,$45.75,$12.61,$2.95,$15.56,$30.19,65.99,0
ORD-10015,10-01-2021,2021,1,Jan,Q1,Outerwear,XS,South,Email Campaign,1,0,0,$46.63,$12.59,$3.27,$15.86,$30.77,65.99,1
ORD-10019,12-01-2021,2021,1,Jan,Q1,Outerwear,L,West,Paid Search,2,0,0,$48.01,$12.52,$3.19,$15.71,$32.30,67.28,0
ORD-10017,13-01-2021,2021,1,Jan,Q1,Dresses,L,West,Paid Search,1,0,0,$34.84,$10.54,$3.29,$13.83,$21.01,60.3,0
ORD-10020,13-01-2021,2021,1,Jan,Q1,Activewear,XL,North,Direct,2,0,0,$29.64,$8.70,$3.10,$11.80,$17.84,60.19,0
ORD-10011,14-01-2021,2021,1,Jan,Q1,Outerwear,L,North,Paid Search,2,1,0.06,$45.48,$12.76,$2.90,$15.66,$29.82,65.57,1
ORD-10003,17-01-2021,2021,1,Jan,Q1,Activewear,S,South,Paid Search,1,0,0,$30.86,$9.06,$2.99,$12.05,$18.81,60.95,0
ORD-10006,18-01-2021,2021,1,Jan,Q1,Activewear,XL,North,Organic Search,3,0,0,$30.66,$9.21,$3.07,$12.28,$18.38,59.95,0
ORD-10022,18-01-2021,2021,1,Jan,Q1,Outerwear,XL,East,Paid Search,3,0,0,$43.65,$13.29,$3.18,$16.47,$27.18,62.27,1
ORD-10014,19-01-2021,2021,1,Jan,Q1,Outerwear,S,East,Paid Search,2,0,0,$44.46,$12.76,$3.31,$16.07,$28.39,63.86,1
ORD-10005,23-01-2021,2021,1,Jan,Q1,Outerwear,S,East,Email Campaign,1,0,0,$47.31,$12.94,$3.01,$15.95,$31.36,66.29,1
ORD-10010,23-01-2021,2021,1,Jan,Q1,Outerwear,XS,North,Paid Search,1,0,0,$44.75,$12.66,$2.95,$15.61,$29.14,65.12,0
ORD-10008,24-01-2021,2021,1,Jan,Q1,Tops & T-Shirts,XXL,West,Instagram / Social,1,0,0,$23.58,$6.76,$3.01,$9.77,$13.81,58.57,0
ORD-10009,25-01-2021,2021,1,Jan,Q1,Activewear,XL,North,Direct,2,0,0,$29.71,$9.25,$2.91,$12.16,$17.55,59.07,1
ORD-10001,26-01-2021,2021,1,Jan,Q1,Dresses,XL,North,Instagram / Social,1,0,0,$38.91,$10.77,$3.21,$13.98,$24.93,64.07,0
ORD-10007,27-01-2021,2021,1,Jan,Q1,Accessories,XL,West,Organic Search,1,0,0,$15.54,$4.71,$3.08,$7.79,$7.75,49.87,0
ORD-10013,27-01-2021,2021,1,Jan,Q1,Tops & T-Shirts,XL,North,Instagram / Social,1,0,0,$25.20,$6.80,$3.04,$9.84,$15.36,60.95,0
ORD-10018,28-01-2021,2021,1,Jan,Q1,Dresses,XL,West,Email Campaign,1,0,0,$36.07,$10.55,$3.28,$13.83,$22.24,61.66,0
ORD-10012,30-01-2021,2021,1,Jan,Q1,Bottoms,S,West,Direct,2,0,0,$30.22,$8.04,$2.96,$11.00,$19.22,63.6,1
ORD-10040,01-02-2021,2021,2,Feb,Q1,Tops & T-Shirts,M,North,Paid Search,1,0,0,$25.52,$7.06,$3.19,$10.25,$15.27,59.84,1
ORD-10026,02-02-2021,2021,2,Feb,Q1,Accessories,M,East,Instagram / Social,1,1,0.18,$15.92,$4.61,$3.11,$7.72,$8.20,51.51,0
ORD-10024,03-02-2021,2021,2,Feb,Q1,Accessories,L,South,Paid Search,2,0,0,$17.42,$4.67,$3.03,$7.70,$9.72,55.8,1
ORD-10027,03-02-2021,2021,2,Feb,Q1,Tops & T-Shirts,M,East,Direct,2,0,0,$23.93,$7.37,$3.07,$10.44,$13.49,56.37,0
ORD-10037,05-02-2021,2021,2,Feb,Q1,Tops & T-Shirts,XS,East,Instagram / Social,1,0,0,$23.02,$7.16,$3.26,$10.42,$12.60,54.74,0
ORD-10042,06-02-2021,2021,2,Feb,Q1,Tops & T-Shirts,M,East,Instagram / Social,1,0,0,$24.21,$7.38,$2.90,$10.28,$13.93,57.54,0
ORD-10031,09-02-2021,2021,2,Feb,Q1,Dresses,L,North,Instagram / Social,2,0,0,$35.62,$11.09,$3.27,$14.36,$21.26,59.69,0
ORD-10030,10-02-2021,2021,2,Feb,Q1,Bottoms,M,South,Direct,1,0,0,$28.53,$7.86,$3.00,$10.86,$17.67,61.93,0
ORD-10032,10-02-2021,2021,2,Feb,Q1,Dresses,M,East,Instagram / Social,1,0,0,$35.22,$10.19,$3.13,$13.32,$21.90,62.18,0
ORD-10033,10-02-2021,2021,2,Feb,Q1,Bottoms,M,South,Paid Search,1,1,0.12,$29.91,$8.31,$3.28,$11.59,$18.32,61.25,0
ORD-10041,12-02-2021,2021,2,Feb,Q1,Bottoms,XS,East,Email Campaign,2,0,0,$30.64,$8.19,$3.05,$11.24,$19.40,63.32,0
ORD-10044,13-02-2021,2021,2,Feb,Q1,Outerwear,S,East,Instagram / Social,1,0,0,$43.89,$13.11,$2.93,$16.04,$27.85,63.45,0
ORD-10039,14-02-2021,2021,2,Feb,Q1,Tops & T-Shirts,XL,East,Organic Search,3,0,0,$23.53,$6.77,$3.07,$9.84,$13.69,58.18,1
ORD-10043,17-02-2021,2021,2,Feb,Q1,Tops & T-Shirts,M,East,Organic Search,1,0,0,$23.78,$6.78,$3.13,$9.91,$13.87,58.33,0
ORD-10045,17-02-2021,2021,2,Feb,Q1,Activewear,M,East,Paid Search,2,0,0,$29.53,$9.21,$3.23,$12.44,$17.09,57.87,0
ORD-10028,18-02-2021,2021,2,Feb,Q1,Bottoms,S,East,Paid Search,1,0,0,$30.74,$8.47,$3.09,$11.56,$19.18,62.39,0
ORD-10036,19-02-2021,2021,2,Feb,Q1,Tops & T-Shirts,L,South,Direct,1,0,0,$23.97,$6.92,$2.99,$9.91,$14.06,58.66,0
ORD-10038,22-02-2021,2021,2,Feb,Q1,Tops & T-Shirts,M,East,Instagram / Social,1,0,0,$23.87,$7.34,$3.07,$10.41,$13.46,56.39,0
ORD-10029,24-02-2021,2021,2,Feb,Q1,Bottoms,L,East,Instagram / Social,1,0,0,$26.94,$7.87,$3.24,$11.11,$15.83,58.76,0
ORD-10035,25-02-2021,2021,2,Feb,Q1,Tops & T-Shirts,S,West,Instagram / Social,1,0,0,$24.05,$7.27,$2.98,$10.25,$13.80,57.38,0
ORD-10025,27-02-2021,2021,2,Feb,Q1,Tops & T-Shirts,XL,South,Direct,1,1,0.17,$24.85,$6.80,$3.24,$10.04,$14.81,59.6,1
ORD-10034,28-02-2021,2021,2,Feb,Q1,Bottoms,XL,South,Direct,1,0,0,$30.69,$8.28,$3.27,$11.55,$19.14,62.37,0
ORD-10057,01-03-2021,2021,3,Mar,Q1,Tops & T-Shirts,M,East,Instagram / Social,1,0,0,$26.41,$7.26,$2.90,$10.16,$16.25,61.53,0
ORD-10046,02-03-2021,2021,3,Mar,Q1,Tops & T-Shirts,XXL,West,Instagram / Social,2,0,0,$24.28,$6.90,$3.00,$9.90,$14.38,59.23,1
ORD-10070,03-03-2021,2021,3,Mar,Q1,Tops & T-Shirts,S,North,Organic Search,1,1,0.11,$24.87,$7.20,$3.10,$10.30,$14.57,58.58,0
ORD-10060,04-03-2021,2021,3,Mar,Q1,Tops & T-Shirts,L,North,Email Campaign,1,0,0,$25.84,$7.35,$3.26,$10.61,$15.23,58.94,0
ORD-10053,06-03-2021,2021,3,Mar,Q1,Dresses,L,South,Paid Search,1,0,0,$39.31,$10.46,$2.89,$13.35,$25.96,66.04,1
ORD-10065,07-03-2021,2021,3,Mar,Q1,Outerwear,S,South,Direct,1,0,0,$48.27,$12.77,$3.12,$15.89,$32.38,67.08,0
ORD-10048,08-03-2021,2021,3,Mar,Q1,Accessories,M,West,Organic Search,1,0,0,$16.82,$4.40,$2.95,$7.35,$9.47,56.3,0
ORD-10064,08-03-2021,2021,3,Mar,Q1,Dresses,XXL,East,Email Campaign,2,0,0,$35.35,$10.52,$2.95,$13.47,$21.88,61.9,1
ORD-10050,09-03-2021,2021,3,Mar,Q1,Bottoms,M,East,Email Campaign,2,0,0,$27.75,$8.35,$3.28,$11.63,$16.12,58.09,0
ORD-10056,10-03-2021,2021,3,Mar,Q1,Tops & T-Shirts,M,East,Direct,2,0,0,$24.87,$7.32,$3.14,$10.46,$14.41,57.94,1
ORD-10066,10-03-2021,2021,3,Mar,Q1,Bottoms,S,North,Instagram / Social,2,0,0,$30.00,$8.58,$3.20,$11.78,$18.22,60.73,0
ORD-10069,13-03-2021,2021,3,Mar,Q1,Accessories,L,South,Paid Search,3,0,0,$17.53,$4.48,$3.26,$7.74,$9.79,55.85,0
ORD-10055,14-03-2021,2021,3,Mar,Q1,Bottoms,S,North,Paid Search,1,0,0,$30.45,$7.94,$3.04,$10.98,$19.47,63.94,1
ORD-10059,14-03-2021,2021,3,Mar,Q1,Dresses,S,East,Direct,1,0,0,$37.54,$10.70,$3.28,$13.98,$23.56,62.76,1
ORD-10063,14-03-2021,2021,3,Mar,Q1,Accessories,XL,South,Instagram / Social,2,0,0,$16.71,$4.48,$3.03,$7.51,$9.20,55.06,1
ORD-10072,14-03-2021,2021,3,Mar,Q1,Accessories,M,East,Organic Search,1,1,0.07,$15.88,$4.59,$3.14,$7.73,$8.15,51.32,0
ORD-10071,15-03-2021,2021,3,Mar,Q1,Bottoms,L,West,Paid Search,2,0,0,$28.77,$8.52,$3.22,$11.74,$17.03,59.19,0
ORD-10067,16-03-2021,2021,3,Mar,Q1,Tops & T-Shirts,XL,West,Email Campaign,2,0,0,$23.25,$7.30,$3.13,$10.43,$12.82,55.14,1
ORD-10061,24-03-2021,2021,3,Mar,Q1,Activewear,L,North,Instagram / Social,2,1,0.11,$31.46,$9.21,$3.30,$12.51,$18.95,60.24,0
ORD-10054,25-03-2021,2021,3,Mar,Q1,Dresses,L,East,Organic Search,2,0,0,$34.69,$10.50,$3.15,$13.65,$21.04,60.65,1
ORD-10068,25-03-2021,2021,3,Mar,Q1,Outerwear,L,West,Instagram / Social,1,0,0,$45.58,$13.35,$2.99,$16.34,$29.24,64.15,0
ORD-10062,26-03-2021,2021,3,Mar,Q1,Outerwear,XL,North,Instagram / Social,1,0,0,$43.83,$12.77,$2.98,$15.75,$28.08,64.07,0
ORD-10058,27-03-2021,2021,3,Mar,Q1,Bottoms,L,East,Email Campaign,1,0,0,$30.63,$8.62,$3.03,$11.65,$18.98,61.97,0
ORD-10051,29-03-2021,2021,3,Mar,Q1,Dresses,XXL,North,Paid Search,1,0,0,$34.35,$10.28,$3.01,$13.29,$21.06,61.31,0
ORD-10052,30-03-2021,2021,3,Mar,Q1,Tops & T-Shirts,XXL,South,Direct,1,0,0,$24.05,$6.95,$3.13,$10.08,$13.97,58.09,0
ORD-10047,31-03-2021,2021,3,Mar,Q1,Tops & T-Shirts,S,East,Direct,1,0,0,$24.69,$6.94,$3.19,$10.13,$14.56,58.97,0
ORD-10049,31-03-2021,2021,3,Mar,Q1,Dresses,XS,North,Email Campaign,1,0,0,$39.17,$10.59,$3.20,$13.79,$25.38,64.79,0
ORD-10088,01-04-2021,2021,4,Apr,Q2,Tops & T-Shirts,XS,East,Paid Search,1,0,0,$24.33,$6.80,$3.01,$9.81,$14.52,59.68,0
ORD-10084,02-04-2021,2021,4,Apr,Q2,Bottoms,S,North,Instagram / Social,1,0,0,$28.44,$8.39,$2.89,$11.28,$17.16,60.34,0
ORD-10080,03-04-2021,2021,4,Apr,Q2,Bottoms,S,West,Paid Search,1,0,0,$30.16,$8.49,$2.98,$11.47,$18.69,61.97,0
ORD-10091,03-04-2021,2021,4,Apr,Q2,Accessories,XL,South,Email Campaign,1,0,0,$16.48,$4.73,$3.04,$7.77,$8.71,52.85,0
ORD-10075,06-04-2021,2021,4,Apr,Q2,Tops & T-Shirts,L,East,Instagram / Social,2,0,0,$23.57,$7.39,$3.12,$10.51,$13.06,55.41,0
ORD-10085,06-04-2021,2021,4,Apr,Q2,Accessories,L,North,Paid Search,1,0,0,$17.21,$4.47,$2.90,$7.37,$9.84,57.18,1
ORD-10086,06-04-2021,2021,4,Apr,Q2,Tops & T-Shirts,M,West,Organic Search,2,0,0,$23.79,$6.90,$3.07,$9.97,$13.82,58.09,0
ORD-10081,09-04-2021,2021,4,Apr,Q2,Tops & T-Shirts,L,West,Instagram / Social,2,0,0,$23.83,$7.18,$3.24,$10.42,$13.41,56.27,0
ORD-10093,10-04-2021,2021,4,Apr,Q2,Accessories,M,East,Organic Search,1,0,0,$16.99,$4.49,$2.90,$7.39,$9.60,56.5,0
ORD-10096,11-04-2021,2021,4,Apr,Q2,Tops & T-Shirts,M,West,Direct,1,0,0,$26.16,$6.88,$3.06,$9.94,$16.22,62,0
ORD-10087,12-04-2021,2021,4,Apr,Q2,Dresses,XS,North,Direct,1,1,0.16,$37.09,$11.07,$3.05,$14.12,$22.97,61.93,0
ORD-10092,13-04-2021,2021,4,Apr,Q2,Dresses,XL,East,Organic Search,1,1,0.11,$38.00,$10.70,$3.02,$13.72,$24.28,63.89,0
ORD-10100,14-04-2021,2021,4,Apr,Q2,Accessories,XXL,West,Instagram / Social,1,0,0,$17.35,$4.66,$3.01,$7.67,$9.68,55.79,0
ORD-10101,14-04-2021,2021,4,Apr,Q2,Tops & T-Shirts,L,East,Direct,1,0,0,$26.39,$7.19,$3.17,$10.36,$16.03,60.74,0
ORD-10082,15-04-2021,2021,4,Apr,Q2,Activewear,S,North,Email Campaign,1,0,0,$32.97,$9.04,$2.94,$11.98,$20.99,63.66,0
ORD-10079,16-04-2021,2021,4,Apr,Q2,Dresses,L,North,Organic Search,1,0,0,$35.34,$10.68,$2.88,$13.56,$21.78,61.63,0
ORD-10099,16-04-2021,2021,4,Apr,Q2,Bottoms,L,West,Instagram / Social,1,1,0.16,$28.77,$8.10,$3.23,$11.33,$17.44,60.62,0
ORD-10077,17-04-2021,2021,4,Apr,Q2,Tops & T-Shirts,S,South,Organic Search,1,0,0,$23.04,$7.07,$3.11,$10.18,$12.86,55.82,1
ORD-10094,17-04-2021,2021,4,Apr,Q2,Dresses,L,East,Instagram / Social,1,0,0,$38.18,$10.82,$2.97,$13.79,$24.39,63.88,0
ORD-10083,18-04-2021,2021,4,Apr,Q2,Dresses,L,East,Instagram / Social,1,0,0,$34.83,$11.10,$2.95,$14.05,$20.78,59.66,0
ORD-10090,18-04-2021,2021,4,Apr,Q2,Accessories,M,East,Email Campaign,2,0,0,$16.61,$4.80,$3.17,$7.97,$8.64,52.02,0
ORD-10104,18-04-2021,2021,4,Apr,Q2,Dresses,XXL,North,Organic Search,3,1,0.2,$39.20,$10.55,$3.03,$13.58,$25.62,65.36,1
ORD-10078,20-04-2021,2021,4,Apr,Q2,Bottoms,XL,South,Paid Search,1,0,0,$27.86,$8.41,$2.93,$11.34,$16.52,59.3,1
ORD-10089,21-04-2021,2021,4,Apr,Q2,Activewear,L,West,Instagram / Social,1,0,0,$33.01,$8.71,$2.96,$11.67,$21.34,64.65,0
ORD-10073,25-04-2021,2021,4,Apr,Q2,Dresses,S,North,Paid Search,1,0,0,$37.85,$10.70,$2.89,$13.59,$24.26,64.1,1
ORD-10074,25-04-2021,2021,4,Apr,Q2,Dresses,XS,South,Email Campaign,1,0,0,$37.76,$10.20,$3.30,$13.50,$24.26,64.25,0
ORD-10103,25-04-2021,2021,4,Apr,Q2,Dresses,XL,North,Paid Search,2,0,0,$35.75,$10.69,$3.14,$13.83,$21.92,61.31,0
ORD-10076,26-04-2021,2021,4,Apr,Q2,Bottoms,S,North,Paid Search,3,0,0,$30.61,$8.35,$3.31,$11.66,$18.95,61.91,0
ORD-10097,26-04-2021,2021,4,Apr,Q2,Tops & T-Shirts,XS,East,Email Campaign,3,0,0,$23.47,$7.27,$3.27,$10.54,$12.93,55.09,0
ORD-10102,29-04-2021,2021,4,Apr,Q2,Dresses,XXL,East,Organic Search,3,1,0.14,$36.67,$10.91,$3.20,$14.11,$22.56,61.52,0
ORD-10095,30-04-2021,2021,4,Apr,Q2,Dresses,M,East,Organic Search,1,1,0.17,$38.79,$10.13,$3.17,$13.30,$25.49,65.71,0
ORD-10098,30-04-2021,2021,4,Apr,Q2,Outerwear,XL,South,Paid Search,1,0,0,$44.11,$12.34,$2.92,$15.26,$28.85,65.4,0
ORD-10120,01-05-2021,2021,5,May,Q2,Tops & T-Shirts,M,East,Instagram / Social,2,0,0,$26.08,$6.84,$3.14,$9.98,$16.10,61.73,0
ORD-10112,02-05-2021,2021,5,May,Q2,Tops & T-Shirts,XL,East,Email Campaign,2,0,0,$24.01,$7.26,$2.95,$10.21,$13.80,57.48,0
ORD-10127,02-05-2021,2021,5,May,Q2,Tops & T-Shirts,M,East,Instagram / Social,3,0,0,$24.51,$7.15,$3.24,$10.39,$14.12,57.61,0
ORD-10136,03-05-2021,2021,5,May,Q2,Tops & T-Shirts,S,South,Instagram / Social,1,0,0,$25.98,$6.99,$3.10,$10.09,$15.89,61.16,0
ORD-10106,04-05-2021,2021,5,May,Q2,Dresses,S,South,Organic Search,1,1,0.07,$35.10,$10.20,$2.90,$13.10,$22.00,62.68,0
ORD-10114,04-05-2021,2021,5,May,Q2,Dresses,S,West,Direct,2,0,0,$35.03,$10.67,$3.12,$13.79,$21.24,60.63,0
ORD-10140,04-05-2021,2021,5,May,Q2,Dresses,M,South,Paid Search,1,1,0.19,$36.07,$10.68,$3.31,$13.99,$22.08,61.21,0
ORD-10128,06-05-2021,2021,5,May,Q2,Activewear,S,North,Paid Search,2,0,0,$31.68,$8.67,$2.99,$11.66,$20.02,63.19,0
ORD-10141,08-05-2021,2021,5,May,Q2,Bottoms,L,North,Organic Search,1,0,0,$28.22,$7.95,$3.17,$11.12,$17.10,60.6,0
ORD-10124,09-05-2021,2021,5,May,Q2,Dresses,L,East,Instagram / Social,1,0,0,$34.81,$10.38,$2.96,$13.34,$21.47,61.68,0
ORD-10119,11-05-2021,2021,5,May,Q2,Bottoms,L,East,Email Campaign,1,1,0.08,$27.59,$8.63,$2.99,$11.62,$15.97,57.88,0
ORD-10125,11-05-2021,2021,5,May,Q2,Dresses,S,North,Paid Search,1,0,0,$34.96,$10.15,$3.26,$13.41,$21.55,61.64,0
ORD-10126,12-05-2021,2021,5,May,Q2,Accessories,XS,North,Organic Search,1,0,0,$16.80,$4.67,$2.91,$7.58,$9.22,54.88,0
ORD-10111,13-05-2021,2021,5,May,Q2,Dresses,L,North,Paid Search,2,1,0.07,$36.56,$10.40,$3.09,$13.49,$23.07,63.1,1
ORD-10123,13-05-2021,2021,5,May,Q2,Tops & T-Shirts,XL,South,Direct,1,1,0.08,$25.97,$6.93,$2.91,$9.84,$16.13,62.11,0
ORD-10107,14-05-2021,2021,5,May,Q2,Tops & T-Shirts,XXL,South,Direct,1,0,0,$25.13,$7.01,$2.92,$9.93,$15.20,60.49,0
ORD-10115,14-05-2021,2021,5,May,Q2,Bottoms,L,West,Paid Search,1,0,0,$28.62,$8.63,$2.97,$11.60,$17.02,59.47,0
ORD-10133,15-05-2021,2021,5,May,Q2,Bottoms,M,South,Paid Search,1,0,0,$28.64,$8.14,$3.00,$11.14,$17.50,61.1,0
ORD-10117,16-05-2021,2021,5,May,Q2,Dresses,S,West,Instagram / Social,1,0,0,$35.28,$10.26,$3.27,$13.53,$21.75,61.65,1
ORD-10134,16-05-2021,2021,5,May,Q2,Accessories,L,East,Organic Search,1,0,0,$16.10,$4.78,$2.95,$7.73,$8.37,51.99,0
ORD-10135,16-05-2021,2021,5,May,Q2,Dresses,S,North,Email Campaign,2,0,0,$36.76,$10.82,$3.14,$13.96,$22.80,62.02,0
ORD-10108,18-05-2021,2021,5,May,Q2,Bottoms,L,South,Instagram / Social,3,0,0,$27.47,$8.52,$3.30,$11.82,$15.65,56.97,1
ORD-10116,18-05-2021,2021,5,May,Q2,Bottoms,M,East,Email Campaign,1,0,0,$28.12,$8.03,$2.99,$11.02,$17.10,60.81,0
ORD-10131,18-05-2021,2021,5,May,Q2,Tops & T-Shirts,XL,East,Instagram / Social,2,0,0,$26.31,$7.41,$2.95,$10.36,$15.95,60.62,0
ORD-10130,20-05-2021,2021,5,May,Q2,Bottoms,L,West,Direct,1,1,0.07,$30.20,$8.27,$3.19,$11.46,$18.74,62.05,1
ORD-10110,21-05-2021,2021,5,May,Q2,Dresses,S,West,Paid Search,1,0,0,$34.53,$10.23,$2.99,$13.22,$21.31,61.71,1
ORD-10132,22-05-2021,2021,5,May,Q2,Outerwear,L,North,Email Campaign,1,0,0,$47.78,$13.00,$3.13,$16.13,$31.65,66.24,1
ORD-10121,23-05-2021,2021,5,May,Q2,Bottoms,S,North,Direct,1,0,0,$28.44,$8.08,$2.95,$11.03,$17.41,61.22,0
ORD-10122,24-05-2021,2021,5,May,Q2,Tops & T-Shirts,S,East,Email Campaign,1,0,0,$26.31,$6.83,$3.18,$10.01,$16.30,61.95,0
ORD-10129,29-05-2021,2021,5,May,Q2,Dresses,S,North,Paid Search,2,0,0,$37.60,$10.20,$3.13,$13.33,$24.27,64.55,0
ORD-10105,30-05-2021,2021,5,May,Q2,Bottoms,M,East,Paid Search,1,0,0,$27.53,$8.01,$3.02,$11.03,$16.50,59.93,0
ORD-10109,30-05-2021,2021,5,May,Q2,Tops & T-Shirts,L,East,Instagram / Social,1,1,0.05,$23.85,$6.89,$2.89,$9.78,$14.07,58.99,0
ORD-10113,30-05-2021,2021,5,May,Q2,Dresses,M,East,Email Campaign,3,0,0,$38.52,$10.66,$3.00,$13.66,$24.86,64.54,0
ORD-10137,30-05-2021,2021,5,May,Q2,Bottoms,S,East,Paid Search,1,0,0,$27.10,$7.90,$3.02,$10.92,$16.18,59.7,0
ORD-10138,30-05-2021,2021,5,May,Q2,Tops & T-Shirts,M,West,Organic Search,1,0,0,$23.95,$7.41,$3.21,$10.62,$13.33,55.66,0
ORD-10139,30-05-2021,2021,5,May,Q2,Dresses,XL,North,Instagram / Social,1,0,0,$36.92,$10.59,$2.97,$13.56,$23.36,63.27,0
ORD-10118,31-05-2021,2021,5,May,Q2,Dresses,L,South,Organic Search,1,0,0,$35.55,$10.37,$3.05,$13.42,$22.13,62.25,0
ORD-10149,02-06-2021,2021,6,Jun,Q2,Bottoms,M,West,Paid Search,1,1,0.16,$28.85,$7.92,$3.07,$10.99,$17.86,61.91,1
ORD-10142,03-06-2021,2021,6,Jun,Q2,Dresses,L,East,Paid Search,1,1,0.17,$38.27,$11.10,$3.17,$14.27,$24.00,62.71,0
ORD-10154,04-06-2021,2021,6,Jun,Q2,Dresses,XXL,West,Instagram / Social,2,1,0.06,$37.40,$10.81,$3.14,$13.95,$23.45,62.7,0
ORD-10155,04-06-2021,2021,6,Jun,Q2,Dresses,XXL,South,Organic Search,1,0,0,$36.45,$10.88,$2.97,$13.85,$22.60,62,0
ORD-10156,04-06-2021,2021,6,Jun,Q2,Dresses,XL,East,Email Campaign,2,0,0,$37.64,$10.32,$2.99,$13.31,$24.33,64.64,1
ORD-10171,04-06-2021,2021,6,Jun,Q2,Bottoms,L,East,Paid Search,1,1,0.14,$28.67,$8.35,$3.02,$11.37,$17.30,60.34,0
ORD-10164,05-06-2021,2021,6,Jun,Q2,Bottoms,L,North,Direct,2,0,0,$27.54,$8.61,$3.21,$11.82,$15.72,57.08,0
ORD-10147,06-06-2021,2021,6,Jun,Q2,Dresses,M,East,Organic Search,1,0,0,$37.93,$10.91,$3.13,$14.04,$23.89,62.98,0
ORD-10151,06-06-2021,2021,6,Jun,Q2,Bottoms,L,North,Instagram / Social,2,0,0,$27.47,$8.16,$2.99,$11.15,$16.32,59.41,0
ORD-10158,06-06-2021,2021,6,Jun,Q2,Dresses,L,North,Paid Search,2,0,0,$37.82,$10.91,$3.11,$14.02,$23.80,62.93,0
ORD-10159,06-06-2021,2021,6,Jun,Q2,Dresses,XS,North,Instagram / Social,2,0,0,$38.66,$10.21,$3.03,$13.24,$25.42,65.75,0
ORD-10166,06-06-2021,2021,6,Jun,Q2,Bottoms,L,South,Paid Search,1,0,0,$27.75,$8.38,$3.00,$11.38,$16.37,58.99,1
